Data;Cod articol;Denumire articol;Locatie sursa;Locatie destinatie;Palet sursa;Palet destinatie;Numar comanda;Depozit;Partener;Tip operatiune;Cantitate;Persoana;Cod-motiv;Document intrare;Document comanda;Lot;UM;Proprietar;Detalii
07/05/2026 13:59:45;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032078_AE;Depozit Principal;;Ajustare negativa;-66.5;Razvan Nistor;PRODUCTION-IN;0032078_AE;0032078_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032078_AE
07/05/2026 13:59:45;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032078_AE;Depozit Principal;;Ajustare negativa;-7.14;Razvan Nistor;PRODUCTION-IN;0032078_AE;0032078_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032078_AE
07/05/2026 14:10:23;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032080_DC;Depozit Principal;;Ajustare negativa;-0.27;Razvan Nistor;PRODUCTION-IN;0032080_DC;0032080_DC;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032080_DC
07/05/2026 14:10:23;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032080_DC;Depozit Principal;;Ajustare negativa;-28.5;Razvan Nistor;PRODUCTION-IN;0032080_DC;0032080_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032080_DC
07/05/2026 14:10:23;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032080_DC;Depozit Principal;;Ajustare negativa;-3.06;Razvan Nistor;PRODUCTION-IN;0032080_DC;0032080_DC;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032080_DC
07/05/2026 16:30:19;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032082_DC;Depozit Principal;;Ajustare negativa;-2679.2;Andrei Bodirlau;PRODUCTION-IN;0032082_DC;0032082_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032082_DC
07/05/2026 16:29:28;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032084_DC;Depozit Principal;;Ajustare negativa;-10.53;Andrei Bodirlau;PRODUCTION-IN;0032084_DC;0032084_DC;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032084_DC
07/05/2026 16:29:28;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032084_DC;Depozit Principal;;Ajustare negativa;-119.34;Andrei Bodirlau;PRODUCTION-IN;0032084_DC;0032084_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032084_DC
07/05/2026 16:29:28;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032084_DC;Depozit Principal;;Ajustare negativa;-119.34;Andrei Bodirlau;PRODUCTION-IN;0032084_DC;0032084_DC;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032084_DC
07/05/2026 16:29:29;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;DEPAMB;DEPAMB;;;0032084_DC;Depozit Principal;;Ajustare negativa;-994.5;Andrei Bodirlau;PRODUCTION-IN;0032084_DC;0032084_DC;260507;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032084_DC
